year,month,total_trips,total_revenue,avg_revenue_per_trip,avg_tips,trips_same_month_prev_year,yoy_growth_pct
2018,1,1647305,25026685.73,15.19,1.59,,
2018,2,1600508,24819936.06,15.51,1.62,,
2018,3,1954557,30757203.79,15.74,1.61,,
2018,4,1862987,30882399.62,16.58,1.74,,
2018,5,1919994,33172654.55,17.28,1.81,,
2018,6,1971393,34553823.97,17.53,1.84,,
2018,7,1651003,28058543.76,16.99,1.65,,
2018,8,1706808,29370031.38,17.21,1.72,,
2018,9,1593678,28277241.22,17.74,1.81,,
2018,10,1791399,32431899.68,18.1,1.89,,
2018,11,1576427,28182291.44,17.88,1.8,,
2018,12,1441594,22667853.35,15.72,1.51,,
2019,1,1212454,20669463.11,17.05,1.67,1647305,-26.4
2019,2,1311882,22267436.05,16.97,1.74,1600508,-18.03
2019,3,1514547,27173498.64,17.94,1.77,1954557,-22.51
2019,4,1457117,26894808.26,18.46,1.9,1862987,-21.79
2019,5,2942041,55519865.31,18.87,1.98,1919994,53.23
2019,6,1496642,28086443.73,18.77,1.96,1971393,-24.08
2019,7,1343252,24040275.46,17.9,1.78,1651003,-18.64
2019,8,1347859,24300270.55,18.03,1.81,1706808,-21.03
2019,9,1334105,25466043.7,19.09,1.98,1593678,-16.29
2019,10,1447883,27076290.9,18.7,1.99,1791399,-19.18
2019,11,1245772,23231283.72,18.65,1.85,1576427,-20.97
2019,12,1256276,22000993.32,17.51,1.67,1441594,-12.86
2020,1,1072375,19234842.42,17.94,1.76,1212454,-11.55
2020,2,1121081,20349244.56,18.15,1.79,1311882,-14.54
2020,3,556946,10055809.11,18.06,1.58,1514547,-63.23
2020,4,55529,932824.25,16.8,0.44,1457117,-96.19
2020,5,71552,1270607.54,17.76,0.56,2942041,-97.57
2020,6,102521,1864195.82,18.18,0.79,1496642,-93.15
2020,7,129950,2318373.21,17.84,0.85,1343252,-90.33
2020,8,141868,2578298.06,18.17,0.88,1347859,-89.47
2020,9,162017,3235483.26,19.97,0.9,1334105,-87.86
2020,10,177178,3709662.53,20.94,0.92,1447883,-87.76
2020,11,142213,2962542.02,20.83,0.78,1245772,-88.58
2020,12,148642,2912046.13,19.59,0.76,1256276,-88.17
2021,1,146753,3139119.75,21.39,0.93,1072375,-86.32
2021,2,154927,3316634.72,21.41,1.09,1121081,-86.18
2021,3,208141,4674162.98,22.46,1.21,556946,-62.63
2021,4,229962,5446207.01,23.68,1.38,55529,314.13
2021,5,269136,6510414.37,24.19,1.63,71552,276.14
2021,6,331419,8462623.48,25.53,1.96,102521,223.27
2021,7,390939,10784539.16,27.59,2.2,129950,200.84
2021,8,411467,11323234.32,27.52,2.36,141868,190.04
2021,9,427457,11114751.72,26.0,2.37,162017,163.83
2021,10,494413,12616845.11,25.52,2.45,177178,179.05
2021,11,444319,11294964.31,25.42,2.3,142213,212.43
2021,12,429460,10341856.91,24.08,2.11,148642,188.92
2022,1,307612,7270003.02,23.63,1.81,146753,109.61
2022,2,363790,8611985.11,23.67,2.13,154927,134.81
2022,3,517827,12865476.32,24.85,2.5,208141,148.79
2022,4,521029,13977923.55,26.83,2.65,229962,126.57
2022,5,595386,16872448.8,28.34,2.95,269136,121.22
2022,6,638344,18469179.76,28.93,3.07,331419,92.61
2022,7,572363,15768496.16,27.55,2.8,390939,46.41
2022,8,588093,15886252.15,27.01,2.81,411467,42.93
2022,9,607738,17024303.09,28.01,3.05,427457,42.18
2022,10,605818,17202014.34,28.39,3.14,494413,22.53
2022,11,541935,14607094.52,26.95,2.89,444319,21.97
2022,12,512725,12551804.69,24.48,2.49,429460,19.39