day_of_week,hour,total_trips,avg_revenue,avg_tips
5,17,223531,17.22,1.89
6,17,220200,16.3,1.68
4,17,220008,16.74,1.87
5,18,218083,17.66,1.96
3,17,215743,16.42,1.79
6,18,214297,16.44,1.67
4,18,213298,16.84,1.93
3,18,208659,16.39,1.85
6,16,208175,16.98,1.69
5,16,207026,18.18,1.92
4,16,200746,18.63,1.91
3,16,196949,17.0,1.8
5,19,193693,19.19,2.14
6,15,193595,17.92,1.78
2,17,189660,17.03,1.83
5,15,188194,19.22,2.02
6,19,187008,17.15,1.77
5,13,186001,17.38,1.87
4,19,185141,18.71,2.1
6,13,184764,17.51,1.83